"e"," ","","31","72039","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","31","72456","main.py","1.1.2 for 2021-2022 @t1","0"
"e","(","","31","72457","main.py","1.1.2 for 2021-2022 @t1","0"
"e",")","","32","72478","main.py","1.1.2 for 2021-2022 @t1","0"
"k","(",,"32","72494","main.py","1.1.2 for 2021-2022 @t1","0"
"e","1","","32","73580","main.py","1.1.2 for 2021-2022 @t1","0"
"k","1",,"33","73593","main.py","1.1.2 for 2021-2022 @t1","0"
"e",",","","33","73665","main.py","1.1.2 for 2021-2022 @t1","0"
"k",",",,"34","73684","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","34","93620","main.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"35","93636","main.py","1.1.2 for 2021-2022 @t1","0"
"e","1","","35","94538","main.py","1.1.2 for 2021-2022 @t1","0"
"k","1",,"36","94554","main.py","1.1.2 for 2021-2022 @t1","0"
"e","0","","36","94604","main.py","1.1.2 for 2021-2022 @t1","0"
"k","0",,"37","94622","main.py","1.1.2 for 2021-2022 @t1","0"
"e","0","","37","94744","main.py","1.1.2 for 2021-2022 @t1","0"
"k","0",,"38","94752","main.py","1.1.2 for 2021-2022 @t1","0"
"k",")",,"39","96418","main.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"96671","main.py","1.1.2 for 2021-2022 @t1","0"
"e","
    ","","39","96671","main.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"101648","main.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","0","101667","main.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"102301","main.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","0","102305","main.py","1.1.2 for 2021-2022 @t1","0"
"a","Up",,,"102791","main.py","1.1.2 for 2021-2022 @t1","0"
"a","Up",,,"103907","main.py","1.1.2 for 2021-2022 @t1","0"
"e","f","","0","104505","main.py","1.1.2 for 2021-2022 @t1","0"
"k","f",,"1","104505","main.py","1.1.2 for 2021-2022 @t1","0"
"e","","f

","0","104537","main.py","1.1.2 for 2021-2022 @t1","0"
"e","f 

","","0","104537","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","1","104702","main.py","1.1.2 for 2021-2022 @t1","0"
"e","r","","1","104703","main.py","1.1.2 for 2021-2022 @t1","0"
"k","r",,"2","104723","main.py","1.1.2 for 2021-2022 @t1","0"
"e","o","","2","104753","main.py","1.1.2 for 2021-2022 @t1","0"
"k","o",,"3","104771","main.py","1.1.2 for 2021-2022 @t1","0"
"e","m","","3","104803","main.py","1.1.2 for 2021-2022 @t1","0"
"k","m",,"4","104823","main.py","1.1.2 for 2021-2022 @t1","0"
